"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene"
0,NA,NA,NA,NA,NA,"ENST00000615943"
0,NA,NA,NA,NA,NA,"ENST00000635667"
0,NA,NA,NA,NA,NA,"ENST00000623473"
0,NA,NA,NA,NA,NA,"ENST00000624155"
0.166671924902289,0.514531178231832,4.0804728567969,0.126095968847035,0.899655958396433,NA,"ENST00000422332"
0,NA,NA,NA,NA,NA,"ENST00000612732"
0,NA,NA,NA,NA,NA,"ENST00000634617"
0,NA,NA,NA,NA,NA,"ENST00000613107"
7.90738743933293,0.957298599584177,0.856758504145804,1.11734939887012,0.263844961654428,0.534679193816257,"ENST00000623391"
0,NA,NA,NA,NA,NA,"ENST00000448473"
4.33271250161697,2.18270383029789,1.42146644215911,1.53552962318444,0.124653786305081,0.35058877398304,"ENST00000623199"
0.166815276208803,0.513280092126529,4.0804728567969,0.125789365629905,0.899898659904176,NA,"ENST00000425869"
0,NA,NA,NA,NA,NA,"ENST00000441221"
0,NA,NA,NA,NA,NA,"ENST00000429435"
0,NA,NA,NA,NA,NA,"ENST00000252835"
0.166038660109643,0.520166590241456,4.0804728567969,0.127477037220088,0.898562846539314,NA,"ENST00000412729"
0.333748499239566,1.60828990932238,4.02196656032346,0.399876499518445,0.689247482105294,NA,"ENST00000443989"
0.166689556045576,0.51437707298822,4.0804728567969,0.126058202330991,0.899685853174622,NA,"ENST00000444162"
0.166853985705625,0.512942992179359,4.0804728567969,0.125706752668368,0.899964056417728,NA,"ENST00000417863"
0,NA,NA,NA,NA,NA,"ENST00000456143"
0,NA,NA,NA,NA,NA,"ENST00000447704"
0.500367111812911,2.20126386211188,3.98359469371894,0.552582285939551,0.580549474508171,NA,"ENST00000428118"
0.16670297423419,0.514259834564392,4.0804728567969,0.126029470753073,0.899708596277217,NA,"ENST00000438441"
0,NA,NA,NA,NA,NA,"ENST00000440999"
0.451427228710697,2.06252143914929,3.9912617704488,0.516759250024677,0.605324229623968,NA,"ENST00000426025"
0,NA,NA,NA,NA,NA,"ENST00000435410"
2.66511591226467,4.62902429538086,3.11241754440847,1.4872761219641,0.136941898343406,0.368226897127259,"ENST00000343518"
1.19793565886962,2.277556057604,2.64118364568718,0.862324004361851,0.38850924699271,NA,"ENST00000621704"
0.235486799669272,1.18208647364742,4.05930130969976,0.291204417573735,0.770894984180333,NA,"ENST00000452800"
0.166878382691152,0.512730692279322,4.0804728567969,0.125654724409025,0.900005242395089,NA,"ENST00000422014"
0,NA,NA,NA,NA,NA,"ENST00000390914"
0.865029537463386,3.00628326075651,2.47044071504394,1.21690160077492,0.223641656506586,NA,"ENST00000417657"
0.405416384768749,1.92421844941756,3.99991234219863,0.481065154632834,0.630470192520968,NA,"ENST00000453395"
0.166613805359877,0.515039632013333,4.0804728567969,0.126220575430473,0.89955732478074,NA,"ENST00000423297"
0,NA,NA,NA,NA,NA,"ENST00000438574"
22.9305694899562,4.23438217728205,0.913520047276685,4.63523727793961,3.56528279937923e-06,7.47244203157565e-05,"ENST00000413768"
21.0973573234014,7.61820825511286,1.52620583319545,4.99159948770637,5.98813252636846e-07,1.5019414369416e-05,"ENST00000437781"
16.9515674534575,2.55713198490288,1.40483341303903,1.82023858570614,0.0687226793859901,0.249752255250748,"ENST00000383038"
25.6186195156641,4.6480194531783,1.13076611462411,4.11050472159171,3.94795207079123e-05,0.000599297325394857,"ENST00000447898"
4.00107865688179,5.22082721438761,1.8487322078807,2.82400403483667,0.00474277878155304,0.0350151651443823,"ENST00000458623"
6.25801667750094,4.86086869411371,1.56610791697465,3.10378910765215,0.00191059465810749,0.0158632714617226,"ENST00000603308"
5.22109022145108,3.00214972055377,1.292972809058,2.32189702638912,0.02023848097535,0.107144899281265,"ENST00000440946"
0.579645714111673,2.43159005221939,2.83272615544045,0.858392205525884,0.390675930121019,NA,"ENST00000609679"
